source_id,mean,median,mode,upper,lower
2034016010860154624,1441.3959051556903,1437.4265213664678,1429.684536276518,1572.6975086902848,1323.6156652007016
2059773204606512896,9219.099922710437,7098.386834899518,5391.814561239942,23292.109777616213,4144.313773723248
5942573036313602688,52117.28301748808,52341.85748447345,100000.0,95248.5251574797,8200.348715698789
5934342916882566144,2952.5304779983217,2509.615195442434,632.336089147511,6566.004842220509,527.6877946601843
2032070493752368128,3367.1348866548124,2485.650782651852,1760.6943831537753,9040.080926735764,1349.6673958575038
5804264330468597376,48162.07323415738,47460.52029806775,2030.1385707714153,94699.17523826897,4218.7565393122395
1867982603902918656,4782.332726660509,3713.834752728724,2852.7934118326566,11881.847790918735,2194.068120714629
2032046579400319104,4681.476231452528,4436.315340580142,4095.679607215978,6835.203227251233,3305.5307467781504
6842386788091270528,464.3421615871465,461.8830050350393,457.1533685093144,524.210361548619,412.83892353851417
2163604519994458112,52484.502919199054,52837.31330000147,100000.0,95308.5478984195,8431.358178310504
